2026-04-07 23:27:45 | INFO | kuairand_rec.generate_recall | Generating recall candidates for splits: ['train', 'val', 'test']
2026-04-07 23:28:03 | INFO | kuairand_rec.generate_recall | Generated popular candidates for train: rows=7940700
2026-04-07 23:28:48 | INFO | kuairand_rec.generate_recall | Generated ItemCF candidates for train: rows=7432096
2026-04-07 23:28:48 | WARNING | kuairand_rec.generate_recall | Torch is not installed; skip two-tower candidate generation.
2026-04-07 23:33:28 | INFO | kuairand_rec.generate_recall | Merged recall candidates for train: rows=11073794 users=26469 positives=261593
2026-04-07 23:33:35 | INFO | kuairand_rec.generate_recall | Saved train recall candidates: /scratch/ym3447/Rec/artifacts/recall/train_candidates.parquet
2026-04-07 23:34:12 | INFO | kuairand_rec.generate_recall | Generated popular candidates for val: rows=5993811
2026-04-07 23:34:51 | INFO | kuairand_rec.generate_recall | Generated ItemCF candidates for val: rows=6024982
2026-04-07 23:34:51 | WARNING | kuairand_rec.generate_recall | Torch is not installed; skip two-tower candidate generation.
2026-04-07 23:38:27 | INFO | kuairand_rec.generate_recall | Merged recall candidates for val: rows=8714622 users=21184 positives=15865
2026-04-07 23:38:32 | INFO | kuairand_rec.generate_recall | Saved val recall candidates: /scratch/ym3447/Rec/artifacts/recall/val_candidates.parquet
2026-04-07 23:39:06 | INFO | kuairand_rec.generate_recall | Generated popular candidates for test: rows=6438615
2026-04-07 23:39:47 | INFO | kuairand_rec.generate_recall | Generated ItemCF candidates for test: rows=6370710
2026-04-07 23:39:47 | WARNING | kuairand_rec.generate_recall | Torch is not installed; skip two-tower candidate generation.
2026-04-07 23:43:37 | INFO | kuairand_rec.generate_recall | Merged recall candidates for test: rows=9308764 users=22709 positives=22763
2026-04-07 23:43:42 | INFO | kuairand_rec.generate_recall | Saved test recall candidates: /scratch/ym3447/Rec/artifacts/recall/test_candidates.parquet
2026-04-07 23:44:02 | INFO | kuairand_rec.generate_recall | Saved recall metrics: /scratch/ym3447/Rec/artifacts/metrics/recall_metrics.json
2026-04-07 23:44:02 | INFO | kuairand_rec.generate_recall | train metrics summary: {'num_candidates': 11073794, 'coverage_all': 0.2754846366873269, 'recall@50': 0.21902502042013364, 'recall@100': 0.3198895737342547, 'recall@200': 0.4609181667688683}
2026-04-07 23:44:02 | INFO | kuairand_rec.generate_recall | val metrics summary: {'num_candidates': 8714622, 'coverage_all': 0.2754846366873269, 'recall@50': 0.17084782388493094, 'recall@100': 0.2524901239153189, 'recall@200': 0.37941047371442077}
2026-04-07 23:44:02 | INFO | kuairand_rec.generate_recall | test metrics summary: {'num_candidates': 9308764, 'coverage_all': 0.2753527627588026, 'recall@50': 0.17252817050506952, 'recall@100': 0.25472252934672657, 'recall@200': 0.3788844715236773}
2026-04-07 23:58:43 | INFO | kuairand_rec.generate_recall | Generating recall candidates for splits: ['train', 'val', 'test']
2026-04-07 23:59:02 | INFO | kuairand_rec.generate_recall | Generated popular candidates for train: rows=7940700
2026-04-07 23:59:48 | INFO | kuairand_rec.generate_recall | Generated ItemCF candidates for train: rows=7432096
2026-04-08 00:00:12 | INFO | kuairand_rec.generate_recall | Generated two-tower candidates for train: rows=7940700
2026-04-08 00:07:48 | INFO | kuairand_rec.generate_recall | Merged recall candidates for train: rows=13234500 users=26469 positives=265346
2026-04-08 00:07:57 | INFO | kuairand_rec.generate_recall | Saved train recall candidates: /scratch/ym3447/Rec/artifacts/recall/train_candidates.parquet
2026-04-08 00:08:48 | INFO | kuairand_rec.generate_recall | Generated popular candidates for val: rows=5993811
2026-04-08 00:09:32 | INFO | kuairand_rec.generate_recall | Generated ItemCF candidates for val: rows=6024982
2026-04-08 00:10:42 | INFO | kuairand_rec.generate_recall | Generated two-tower candidates for val: rows=6355200
2026-04-08 00:16:50 | INFO | kuairand_rec.generate_recall | Merged recall candidates for val: rows=10592000 users=21184 positives=15855
