2026-04-08 14:28:42 | INFO | kuairand_rec.run_rerank | Running rerank for splits=['val', 'test'] topk=10
2026-04-08 14:29:26 | INFO | kuairand_rec.run_rerank | Saved val final rerank file: /scratch/ym3447/Rec/artifacts/rerank_smoke/val_final.parquet rows=5000
2026-04-08 14:30:09 | INFO | kuairand_rec.run_rerank | Saved test final rerank file: /scratch/ym3447/Rec/artifacts/rerank_smoke/test_final.parquet rows=5000
2026-04-08 14:30:09 | INFO | kuairand_rec.run_rerank | Saved rerank metrics: /scratch/ym3447/Rec/artifacts/metrics/rerank_metrics_smoke.json
2026-04-08 14:30:09 | INFO | kuairand_rec.run_rerank | Rerank metrics summary: {'val': {'before': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 22, 'author_coverage_all': 0.3158452570217276, 'tag_coverage_all': 0.609375, 'avg_unique_authors_per_user': 9.904, 'avg_unique_tags_per_user': 4.768, 'adjacent_same_author_rate': 0.0058000000000000005, 'adjacent_same_tag_rate': 0.2466, 'avg_freshness_days': 20.20240020751953, 'median_freshness_days': 20.0, 'p90_freshness_days': 21.0, 'fresh_share_leq_threshold': 0.5792, 'recall@10': 0.09865470852017937, 'ndcg@10': 0.016671945081448418, 'recall@20': 0.09865470852017937, 'ndcg@20': 0.016671945081448418, 'mrr@10': 0.010338095238095238}, 'after': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 22, 'author_coverage_all': 0.314785373608903, 'tag_coverage_all': 0.609375, 'avg_unique_authors_per_user': 9.912, 'avg_unique_tags_per_user': 4.906, 'adjacent_same_author_rate': 0.0028, 'adjacent_same_tag_rate': 0.2254, 'avg_freshness_days': 20.205, 'median_freshness_days': 20.0, 'p90_freshness_days': 21.0, 'fresh_share_leq_threshold': 0.5776, 'recall@10': 0.09865470852017937, 'ndcg@10': 0.016621163331262494, 'recall@20': 0.09865470852017937, 'ndcg@20': 0.016621163331262494, 'mrr@10': 0.01031031746031746}, 'delta': {'num_rows': 0.0, 'num_users': 0.0, 'positive_hits': 0.0, 'author_coverage_all': -0.0010598834128245915, 'tag_coverage_all': 0.0, 'avg_unique_authors_per_user': 0.008000000000000895, 'avg_unique_tags_per_user': 0.1379999999999999, 'adjacent_same_author_rate': -0.0030000000000000005, 'adjacent_same_tag_rate': -0.021200000000000024, 'avg_freshness_days': 0.0025997924804670447, 'median_freshness_days': 0.0, 'p90_freshness_days': 0.0, 'fresh_share_leq_threshold': -0.0016000000000000458, 'recall@10': 0.0, 'ndcg@10': -5.078175018592354e-05, 'recall@20': 0.0, 'ndcg@20': -5.078175018592354e-05, 'mrr@10': -2.777777777777761e-05}}, 'test': {'before': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 37, 'author_coverage_all': 0.3066255778120185, 'tag_coverage_all': 0.6307692307692307, 'avg_unique_authors_per_user': 9.904, 'avg_unique_tags_per_user': 4.662, 'adjacent_same_author_rate': 0.005600000000000001, 'adjacent_same_tag_rate': 0.2606, 'avg_freshness_days': 28.194799423217773, 'median_freshness_days': 28.0, 'p90_freshness_days': 29.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.11708860759493671, 'ndcg@10': 0.02633558117377295, 'recall@20': 0.11708860759493671, 'ndcg@20': 0.02633558117377295, 'mrr@10': 0.01392063492063492}, 'after': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 37, 'author_coverage_all': 0.3071391884951207, 'tag_coverage_all': 0.6307692307692307, 'avg_unique_authors_per_user': 9.916, 'avg_unique_tags_per_user': 4.8, 'adjacent_same_author_rate': 0.0022, 'adjacent_same_tag_rate': 0.23940000000000003, 'avg_freshness_days': 28.1966, 'median_freshness_days': 28.0, 'p90_freshness_days': 29.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.11708860759493671, 'ndcg@10': 0.02631757726726157, 'recall@20': 0.11708860759493671, 'ndcg@20': 0.02631757726726157, 'mrr@10': 0.013856349206349207}, 'delta': {'num_rows': 0.0, 'num_users': 0.0, 'positive_hits': 0.0, 'author_coverage_all': 0.0005136106831021836, 'tag_coverage_all': 0.0, 'avg_unique_authors_per_user': 0.012000000000000455, 'avg_unique_tags_per_user': 0.1379999999999999, 'adjacent_same_author_rate': -0.0034000000000000007, 'adjacent_same_tag_rate': -0.02119999999999997, 'avg_freshness_days': 0.0018005767822266705, 'median_freshness_days': 0.0, 'p90_freshness_days': 0.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.0, 'ndcg@10': -1.8003906511382395e-05, 'recall@20': 0.0, 'ndcg@20': -1.8003906511382395e-05, 'mrr@10': -6.42857142857129e-05}}}
2026-04-08 14:30:30 | INFO | kuairand_rec.run_rerank | Running rerank for splits=['val', 'test'] topk=20
2026-04-08 14:44:25 | INFO | kuairand_rec.run_rerank | Running rerank for splits=['val', 'test'] topk=10
2026-04-08 14:44:34 | INFO | kuairand_rec.run_rerank | Saved val final rerank file: /scratch/ym3447/Rec/artifacts/rerank_smoke/val_final.parquet rows=5000
2026-04-08 14:44:43 | INFO | kuairand_rec.run_rerank | Saved test final rerank file: /scratch/ym3447/Rec/artifacts/rerank_smoke/test_final.parquet rows=5000
2026-04-08 14:44:43 | INFO | kuairand_rec.run_rerank | Saved rerank metrics: /scratch/ym3447/Rec/artifacts/metrics/rerank_metrics_smoke.json
2026-04-08 14:44:43 | INFO | kuairand_rec.run_rerank | Rerank metrics summary: {'val': {'before': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 22, 'author_coverage_all': 0.3158452570217276, 'tag_coverage_all': 0.609375, 'avg_unique_authors_per_user': 9.904, 'avg_unique_tags_per_user': 4.768, 'adjacent_same_author_rate': 0.0058000000000000005, 'adjacent_same_tag_rate': 0.2466, 'avg_freshness_days': 20.20240020751953, 'median_freshness_days': 20.0, 'p90_freshness_days': 21.0, 'fresh_share_leq_threshold': 0.5792, 'recall@10': 0.09865470852017937, 'ndcg@10': 0.016671945081448418, 'recall@20': 0.09865470852017937, 'ndcg@20': 0.016671945081448418, 'mrr@10': 0.010338095238095238}, 'after': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 22, 'author_coverage_all': 0.314785373608903, 'tag_coverage_all': 0.609375, 'avg_unique_authors_per_user': 9.912, 'avg_unique_tags_per_user': 4.906, 'adjacent_same_author_rate': 0.0028, 'adjacent_same_tag_rate': 0.2254, 'avg_freshness_days': 20.205, 'median_freshness_days': 20.0, 'p90_freshness_days': 21.0, 'fresh_share_leq_threshold': 0.5776, 'recall@10': 0.09865470852017937, 'ndcg@10': 0.016621163331262494, 'recall@20': 0.09865470852017937, 'ndcg@20': 0.016621163331262494, 'mrr@10': 0.01031031746031746}, 'delta': {'num_rows': 0.0, 'num_users': 0.0, 'positive_hits': 0.0, 'author_coverage_all': -0.0010598834128245915, 'tag_coverage_all': 0.0, 'avg_unique_authors_per_user': 0.008000000000000895, 'avg_unique_tags_per_user': 0.1379999999999999, 'adjacent_same_author_rate': -0.0030000000000000005, 'adjacent_same_tag_rate': -0.021200000000000024, 'avg_freshness_days': 0.0025997924804670447, 'median_freshness_days': 0.0, 'p90_freshness_days': 0.0, 'fresh_share_leq_threshold': -0.0016000000000000458, 'recall@10': 0.0, 'ndcg@10': -5.078175018592354e-05, 'recall@20': 0.0, 'ndcg@20': -5.078175018592354e-05, 'mrr@10': -2.777777777777761e-05}}, 'test': {'before': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 37, 'author_coverage_all': 0.3066255778120185, 'tag_coverage_all': 0.6307692307692307, 'avg_unique_authors_per_user': 9.904, 'avg_unique_tags_per_user': 4.662, 'adjacent_same_author_rate': 0.005600000000000001, 'adjacent_same_tag_rate': 0.2606, 'avg_freshness_days': 28.194799423217773, 'median_freshness_days': 28.0, 'p90_freshness_days': 29.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.11708860759493671, 'ndcg@10': 0.02633558117377295, 'recall@20': 0.11708860759493671, 'ndcg@20': 0.02633558117377295, 'mrr@10': 0.01392063492063492}, 'after': {'num_rows': 5000, 'num_users': 500, 'positive_hits': 37, 'author_coverage_all': 0.3071391884951207, 'tag_coverage_all': 0.6307692307692307, 'avg_unique_authors_per_user': 9.916, 'avg_unique_tags_per_user': 4.8, 'adjacent_same_author_rate': 0.0022, 'adjacent_same_tag_rate': 0.23940000000000003, 'avg_freshness_days': 28.1966, 'median_freshness_days': 28.0, 'p90_freshness_days': 29.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.11708860759493671, 'ndcg@10': 0.02631757726726157, 'recall@20': 0.11708860759493671, 'ndcg@20': 0.02631757726726157, 'mrr@10': 0.013856349206349207}, 'delta': {'num_rows': 0.0, 'num_users': 0.0, 'positive_hits': 0.0, 'author_coverage_all': 0.0005136106831021836, 'tag_coverage_all': 0.0, 'avg_unique_authors_per_user': 0.012000000000000455, 'avg_unique_tags_per_user': 0.1379999999999999, 'adjacent_same_author_rate': -0.0034000000000000007, 'adjacent_same_tag_rate': -0.02119999999999997, 'avg_freshness_days': 0.0018005767822266705, 'median_freshness_days': 0.0, 'p90_freshness_days': 0.0, 'fresh_share_leq_threshold': 0.0, 'recall@10': 0.0, 'ndcg@10': -1.8003906511382395e-05, 'recall@20': 0.0, 'ndcg@20': -1.8003906511382395e-05, 'mrr@10': -6.42857142857129e-05}}}
